size,threads,operations,repeats,time_sec,time_median_sec,time_mean_sec,time_min_sec,time_std_sec,max_abs_error
200,1,16000000,3,0.005174,0.005174,0.005317,0.005163,0.00025726834239758306,1.4073492371480256e-07
200,2,16000000,3,0.002781,0.002781,0.0027923333333333337,0.002765,3.442867022313434e-05,1.4073492371480256e-07
200,4,16000000,3,0.001638,0.001638,0.0016389999999999998,0.001603,3.651027252705733e-05,1.4073492371480256e-07
200,8,16000000,3,0.001354,0.001354,0.0013133333333333332,0.001023,0.0002722872257990325,1.4073492371480256e-07
200,10,16000000,3,0.001258,0.001258,0.0012946666666666668,0.001242,7.777746031681244e-05,1.4073492371480256e-07
400,1,128000000,3,0.051928,0.051928,0.05201566666666666,0.051851,0.0002218926166715185,2.08733171191966e-07
400,2,128000000,3,0.026631,0.026631,0.026711666666666665,0.026581,0.00018471960733320434,2.08733171191966e-07
400,4,128000000,3,0.013997,0.013997,0.014026666666666666,0.013986,6.115826463637858e-05,2.08733171191966e-07
400,8,128000000,3,0.007814,0.007814,0.007735333333333333,0.007457,0.00024852028756890886,2.08733171191966e-07
400,10,128000000,3,0.009284,0.009284,0.009396666666666666,0.008811,0.0006493722609823532,2.08733171191966e-07
800,1,1024000000,3,0.461236,0.461236,0.4612306666666666,0.460557,0.0006710158964833396,3.395439032161107e-07
800,2,1024000000,3,0.232296,0.232296,0.23251533333333332,0.231653,0.0009903859517043513,3.395439032161107e-07
800,4,1024000000,3,0.118861,0.118861,0.11895,0.118752,0.00025445431810051873,3.395439032161107e-07
800,8,1024000000,3,0.063973,0.063973,0.06383033333333334,0.063455,0.0003281483404397063,3.395439032161107e-07
800,10,1024000000,3,0.064071,0.064071,0.06764133333333333,0.062417,0.007661171603177503,3.395439032161107e-07
1200,1,3456000000,3,1.638972,1.638972,1.6397586666666666,1.638724,0.0015821875152248097,3.7731904178883724e-07
1200,2,3456000000,3,0.810899,0.810899,0.8078886666666666,0.800458,0.006473648919530097,3.7731904178883724e-07
1200,4,3456000000,3,0.41302,0.41302,0.41399199999999997,0.412798,0.0018790923340804581,3.7731904178883724e-07
1200,8,3456000000,3,0.23144,0.23144,0.23676733333333333,0.226772,0.013473516294320982,3.7731904178883724e-07
1200,10,3456000000,3,0.224929,0.224929,0.218469,0.196078,0.01996102755371075,3.7731904178883724e-07
1600,1,8192000000,3,3.832117,3.832117,3.835022,3.821551,0.015134071527517045,4.720996003015898e-07
1600,2,8192000000,3,1.912062,1.912062,1.9124229999999998,1.90987,0.002751320228544895,4.720996003015898e-07
1600,4,8192000000,3,0.978956,0.978956,0.9796360000000001,0.978412,0.0016711959789324439,4.720996003015898e-07
1600,8,8192000000,3,0.513317,0.513317,0.513459,0.508991,0.004540665589976885,4.720996003015898e-07
1600,10,8192000000,3,0.488038,0.488038,0.49038833333333337,0.475716,0.015977681506818563,4.720996003015898e-07
2000,1,16000000000,3,7.378029,7.378029,7.379676,7.377962,0.002910904155069301,5.737951636053396e-07
2000,2,16000000000,3,3.761292,3.761292,3.767927333333333,3.751641,0.020428841189194736,5.737951636053396e-07
2000,4,16000000000,3,1.932582,1.932582,1.9339176666666666,1.928728,0.005970620598675884,5.737951636053396e-07
2000,8,16000000000,3,1.010286,1.010286,1.0483856666666667,1.006091,0.06965512278600419,5.737951636053396e-07
2000,10,16000000000,3,1.145038,1.145038,1.1612833333333334,1.074211,0.09622900376878761,5.737951636053396e-07
